period,BA,DM,DO,DS,NA,OL,OT,PB,PE,PF,PH,PI,PL,PM,PP,RF,RM,RO,SF,SH,SO
112.0,0.0,291.1246445054354,109.50848447954704,233.43998892148122,110.77666374726229,27.80197428438099,0.0,0.0,21.424537178180312,0.0,0.0,0.0,0.0,7.225023932697846,5.421141256874546,0.0,7.679319175597351,0.0,0.0,0.0,0.0
113.0,0.0,287.2144003826146,109.29018465656881,141.73188770827863,189.8060842354699,26.406741816856634,0.0,0.0,42.26543305785115,0.0,0.0,0.0,0.0,9.792819152572282,6.472729830838108,0.0,7.69541608606645,0.0,0.0,18.488016636925824,0.0
114.0,0.0,206.98522657885871,102.63475869655899,100.52137246393639,166.44816793856285,45.95339940393316,16.817038004417515,0.0,20.318389863124796,0.0,0.0,0.0,0.0,7.952016744983628,6.215508407283008,0.0,7.991788344064702,0.0,0.0,0.0,0.0
115.0,0.0,206.88049888086726,97.96023275103448,140.2238212423529,245.31964520193168,18.217337927984424,54.18181038179458,0.0,6.726587194035089,0.0,0.0,0.0,0.0,14.937267033507872,24.572798027125838,0.0,4.100283579832059,0.0,0.0,0.0,0.0
116.0,0.0,213.98370867872276,81.81705228330601,95.56196323790559,171.26658703140723,25.957595675077535,15.18220103930468,0.0,57.769963457694715,3.0608765165061076,0.0,0.0,0.0,8.657466164784504,6.472729830838108,0.0,13.702631851581604,0.0,0.0,38.111482670531025,0.0
117.0,0.0,285.35274365496144,92.47391811879521,84.67378954661706,176.88010408547717,43.704227829752334,16.127424103279157,0.0,89.31995886594154,3.0608765165061076,0.0,0.0,0.0,7.469957938494653,0.0,0.0,34.342475413822626,0.0,0.0,0.0,0.0
118.0,0.0,258.57329378179884,135.39805921883288,89.13585223735896,100.69301771755671,19.807369797642927,8.424518775412142,0.0,60.953221734379454,0.0,0.0,0.0,0.0,6.472729830838108,0.0,0.0,27.062287016378598,0.0,0.0,13.57375204220715,0.0
119.0,0.0,329.73674773449295,152.54521862285603,89.27063090679836,98.06115734301687,28.70118834963756,23.59121228412718,0.0,29.142229429529984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.086942907366636,0.0,0.0,13.57375204220715,0.0
120.0,0.0,408.5029812302766,168.10490322805668,89.91901690448957,106.21462699116427,31.139539830754153,8.189403888872208,0.0,18.005578930093908,0.0,0.0,0.0,0.0,0.0,6.215508407283008,0.0,23.686509780963867,0.0,0.0,0.0,0.0
121.0,0.0,205.72915965274265,134.69020928222486,141.24825332829968,117.25712963871831,41.82741251428133,34.62374021458844,0.0,17.07774631998647,3.3832942421827417,0.0,0.0,0.0,0.0,6.977289619842829,0.0,4.5857271840569656,0.0,0.0,16.84239947563336,0.0
122.0,0.0,227.61480228987594,147.46101880202107,108.20778825576868,105.57408194763018,0.0,18.005578930093908,0.0,18.24753710604068,0.0,0.0,0.0,0.0,0.0,6.726587194035089,0.0,0.0,0.0,0.0,21.813517578967744,0.0
123.0,0.0,254.7835529764424,112.90670977379342,103.41403780448601,146.0589459900219,39.835570915326095,6.726587194035089,0.0,32.498132138359956,0.0,0.0,0.0,0.0,0.0,6.472729830838108,0.0,0.0,0.0,0.0,22.322800365770423,0.0
124.0,0.0,209.5581727365771,112.89082138806202,106.69678898452635,136.38694752501718,0.0,34.22418091982505,0.0,5.69,0.0,0.0,0.0,0.0,0.0,6.215508407283008,0.0,4.29602493341461,0.0,0.0,15.715060109875106,0.0
125.0,0.0,197.1874432075939,128.68676470775958,95.21949733029169,116.99310491511645,20.081944202232478,11.94713985776076,0.0,38.824091271956746,0.0,0.0,0.0,0.0,0.0,9.868842329657847,0.0,3.818688829701875,0.0,0.0,0.0,0.0
126.0,0.0,190.38339062549335,59.7632539706741,54.99311009996123,83.79883095737473,0.0,20.176606644716024,0.0,5.147760180528526,0.0,0.0,0.0,0.0,0.0,11.111141256874546,0.0,0.0,0.0,0.0,18.847015940312694,0.0
127.0,0.0,292.663698914087,72.56174943439441,86.83460563541189,66.00427104442876,0.0,22.62683232795282,0.0,5.147760180528526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128.0,0.0,249.19810215852118,56.24487415549561,112.08593778824986,27.066353937461933,37.43018343983216,46.69115497969721,0.0,51.43539394574619,0.0,9.792819152572282,0.0,0.0,0.0,0.0,0.0,8.585379859473324,0.0,0.0,32.54587654338526,0.0
129.0,0.0,262.1990099942528,86.35608638672286,114.82934141170475,78.96345337341302,27.801974284380993,15.894476713906794,0.0,35.62388261776826,0.0,0.0,0.0,0.0,0.0,0.0,10.017208866667417,41.38510471993454,0.0,0.0,14.948350575742937,0.0
130.0,0.0,267.90847599494214,44.26389998147151,86.72284982788179,67.03315387312236,50.424710113509654,30.348894548019715,0.0,50.0321589742816,0.0,0.0,0.0,0.0,0.0,0.0,6.215508407283008,39.78354487734435,0.0,0.0,50.32616602517207,0.0
131.0,0.0,271.51378700655727,110.34908224273798,85.79709647555723,23.16313209478809,65.95768828986128,22.159490659147508,0.0,54.477273171219984,0.0,0.0,0.0,0.0,0.0,0.0,4.869448686138892,64.49969276028907,0.0,0.0,34.19237666465367,0.0
132.0,0.0,181.7230758458063,54.985646435482835,111.78471694250449,133.22754982102313,46.59592330094011,0.0,0.0,35.12704318263068,0.0,0.0,0.0,0.0,12.17578112314307,0.0,0.0,54.45846803866054,0.0,0.0,51.656207312500015,0.0
133.0,0.0,224.07322430505172,54.423893104537676,106.99482762946906,74.97379765779795,31.13180725321459,8.424518775412142,0.0,20.928900746575763,0.0,0.0,0.0,0.0,0.0,5.421141256874546,4.5857271840569656,33.1236248875511,0.0,0.0,42.209528367472004,0.0
134.0,0.0,253.22775864437426,68.1817495652381,75.66871089040487,91.53255788106668,21.985733266847866,10.014550645070646,0.0,6.726587194035089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.295330284247326,0.0,0.0,28.798777124707016,0.0
135.0,0.0,246.2085044910482,54.44017364292497,76.68453292860265,64.66631195551129,0.0,0.0,0.0,20.66275596562049,0.0,0.0,0.0,0.0,0.0,0.0,4.5857271840569656,19.35585947616979,0.0,0.0,9.56940120558727,0.0
136.0,0.0,200.01963820790493,53.43171184204797,74.2271475573288,95.15630946978084,6.215508407283008,12.372784113226373,0.0,6.472729830838108,0.0,0.0,0.0,0.0,0.0,5.69,10.568901437403072,8.295677608830967,0.0,0.0,32.955041542009596,0.0
137.0,0.0,291.88237847475295,77.10361798684495,48.60104850740261,52.621332245610105,0.0,37.758239890208685,0.0,12.372784113226373,0.0,0.0,0.0,0.0,0.0,5.954687440336551,5.69,7.483577822014801,0.0,0.0,0.0,0.0
138.0,0.0,200.53676268955138,101.62684720812028,25.94844320354306,25.46441977311658,8.424518775412142,31.050633397319977,0.0,7.469957938494653,0.0,0.0,0.0,0.0,0.0,10.290589943013437,0.0,0.0,0.0,0.0,0.0,0.0
139.0,0.0,264.6296658600162,94.32971123627895,51.72585628331583,66.01081081991823,10.453197477327214,32.023910731338184,0.0,33.32156320328221,3.695763410650092,0.0,0.0,0.0,0.0,5.421141256874546,0.0,3.3832942421827417,0.0,0.0,39.83377344012032,0.0
140.0,0.0,247.0171306823069,136.83862938813294,49.95461949949959,67.94503226115233,39.51154252405285,54.56867010526857,0.0,34.769103982574826,3.3832942421827417,8.888342431114262,0.0,0.0,0.0,10.842282513749092,5.954687440336551,15.991093694897417,0.0,12.562921705152363,11.734355659025574,0.0
141.0,0.0,295.65980196887205,173.6164276407673,50.42778157791744,31.696776284877124,0.0,23.594733198292374,0.0,33.7809433592329,0.0,9.56940120558727,0.0,0.0,0.0,0.0,5.421141256874546,46.642133515080545,0.0,32.1484898271293,0.0,0.0
142.0,0.0,257.0856136748292,158.1502943101987,52.52135617329908,32.74426433335067,0.0,31.309625142583833,0.0,14.937267033507872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.591702542245578,0.0,40.51232921318588,0.0,0.0
